0 0 44
511 0 108
511 511 128
0 511 162
511 507 128
0 13 51
0 18 44
0 33 95
0 36 59
0 42 39
0 71 31
0 90 38
0 95 71
0 98 121
0 109 139
0 112 129
0 117 64
0 123 47
0 162 53
0 164 70
0 188 77
0 190 91
0 209 73
0 220 94
0 235 108
0 249 93
0 254 105
0 318 110
0 328 95
0 375 102
0 394 86
0 412 91
0 417 122
0 428 162
0 437 175
0 454 158
0 465 165
0 473 159
0 503 155
511 505 59
1 22 48
1 92 40
1 114 111
1 320 103
1 334 99
2 147 51
3 24 89
3 36 81
3 38 49
3 97 112
4 65 30
4 80 36
4 415 80
4 425 138
5 32 92
5 71 34
5 88 55
5 110 127
5 121 52
5 163 54
5 249 97
5 330 108
5 404 97
6 23 112
6 41 33
6 76 42
6 91 110
6 99 142
6 114 74
6 434 157
7 49 35
7 69 47
7 74 54
7 81 72
7 104 146
8 62 51
8 265 101
8 288 105
8 362 99
8 424 88
8 462 155
9 50 51
9 55 49
9 211 74
9 332 95
9 432 134
9 452 175
10 27 120
10 38 55
10 43 47
10 78 136
10 84 147
10 90 152
10 106 132
10 439 149
11 35 89
11 62 126
11 74 141
11 164 65
11 354 93
11 415 90
12 6 60
12 17 90
12 22 103
12 50 125
12 56 133
12 66 153
12 88 166
12 173 78
12 469 161
13 0 53
13 42 141
13 82 170
13 94 165
13 134 48
13 155 72
13 220 84
13 461 172
13 502 157
14 49 146
14 98 149
14 198 75
14 439 126
15 37 162
15 47 171
15 73 175
15 78 168
15 111 59
15 124 39
15 138 49
15 256 101
15 328 98
15 344 96
15 435 86
16 27 168
16 31 165
16 58 171
16 65 176
16 88 172
16 134 52
16 374 99
16 447 143
17 0 184
17 6 195
17 19 161
17 96 159
17 109 70
17 117 40
17 150 54
17 184 69
17 306 97
18 14 165
18 71 170
18 75 169
18 81 169
18 102 112
18 111 71
18 133 85
18 209 69
18 246 89
18 385 99
19 32 181
19 40 180
19 109 81
19 127 61
19 138 97
19 148 58
19 162 63
19 229 89
19 456 152
19 470 171
19 477 163
20 22 177
20 118 57
20 174 60
20 221 66
20 266 101
20 315 104
20 344 92
21 0 200
21 10 206
21 46 172
21 50 165
21 57 162
21 65 161
21 84 155
21 389 90
22 14 181
22 34 183
22 76 142
22 97 101
22 111 54
22 127 95
22 147 95
22 177 70
22 385 86
22 413 85
22 432 74
22 444 72
22 485 155
23 30 180
23 84 123
23 89 125
23 118 81
23 213 56
23 335 106
23 400 86
23 429 87
24 22 172
24 38 167
24 49 137
24 57 125
24 65 119
24 68 120
24 190 45
24 201 45
24 241 69
24 267 87
24 274 89
24 308 100
24 322 106
24 363 102
24 380 93
24 390 91
24 449 101
25 11 197
25 29 170
25 32 164
25 83 47
25 88 60
25 94 52
25 105 44
25 113 49
25 165 86
25 185 70
25 196 39
25 206 53
25 221 62
25 228 60
25 258 89
25 293 94
25 344 111
25 353 103
25 374 104
25 457 132
26 8 200
26 15 158
26 38 136
26 45 118
26 66 48
26 77 33
26 91 43
26 99 42
26 118 74
26 131 102
26 139 105
26 147 85
26 162 91
26 171 98
26 189 61
26 200 53
26 215 62
26 249 84
26 434 114
26 474 167
26 482 164
27 0 192
27 49 69
27 58 47
27 71 38
27 83 37
27 89 39
27 155 110
27 193 66
27 209 70
27 321 127
27 402 121
28 39 76
28 46 57
28 54 58
28 66 38
28 94 53
28 103 55
28 113 65
28 129 128
28 161 126
28 168 124
28 177 123
28 222 88
28 384 127
28 416 131
28 454 126
29 9 172
29 36 69
29 42 53
29 76 41
29 83 47
29 89 50
29 132 129
29 144 124
29 173 132
29 186 120
29 241 120
29 252 126
29 288 131
29 375 133
29 393 132
30 0 159
30 4 174
30 26 81
30 35 67
30 39 60
30 51 61
30 66 60
30 71 51
30 119 128
30 149 136
30 192 119
30 202 120
30 219 123
30 225 124
30 233 126
30 500 154
31 10 105
31 19 89
31 46 69
31 55 73
31 60 77
31 154 147
31 211 132
31 362 142
31 398 145
31 405 142
31 432 149
31 447 150
31 493 162
32 0 105
32 3 100
32 13 97
32 41 83
32 88 113
32 162 152
32 169 149
32 175 152
32 230 143
