 0 15
 0 44
 0 45
 0 6
 0 60
 0 67
 0 68
 0 91
 1 2
 1 22
 1 24
 1 31
 1 38
 1 42
 1 66
 1 68
 1 70
 1 74
 1 77
 1 97
 2 11
 2 2
 2 25
 2 47
 2 51
 2 84
 2 87
 3 10
 3 11
 3 12
 3 17
 3 46
 3 56
 3 61
 3 64
 3 95
 4 0
 4 1
 4 10
 4 21
 4 51
 4 52
 4 55
 4 61
 4 64
 4 65
 4 75
 4 96
 5 11
 5 3
 5 36
 5 46
 5 47
 5 59
 5 80
 5 96
 6 27
 6 63
 6 77
 6 87
 7 27
 7 37
 7 41
 7 45
 7 75
 7 76
 7 92
 7 93
 8 25
 8 28
 8 45
 8 47
 8 52
 8 73
 8 74
 8 87
 8 93
 8 99
 9 11
 9 14
 9 16
 9 17
 9 36
 9 43
 9 6
 9 63
 9 79
 9 8
 9 92
 9 95
 10 0
 10 34
 10 57
 10 62
 10 90
 10 94
 11 13
 11 16
 11 31
 11 42
 11 50
 11 52
 11 61
 11 82
 11 90
 11 96
 12 1
 12 10
 12 14
 12 22
 12 35
 12 4
 12 68
 12 73
 12 79
 12 89
 13 10
 13 12
 13 2
 13 23
 13 26
 13 27
 13 41
 13 48
 13 51
 13 57
 13 66
 13 74
 13 75
 13 77
 14 0
 14 15
 14 19
 14 37
 14 61
 14 80
 14 85
 14 95
 15 12
 15 32
 15 4
 15 40
 15 44
 15 45
 15 48
 15 52
 15 58
 15 71
 16 2
 16 21
 16 24
 16 36
 16 47
 16 48
 16 80
 16 86
 17 28
 17 6
 17 64
 17 68
 17 81
 17 83
 17 84
 17 90
 18 1
 18 12
 18 17
 18 32
 18 39
 18 5
 18 55
 18 56
 18 60
 18 62
 18 70
 18 75
 18 85
 18 88
 18 89
 18 99
 19 15
 19 37
 19 46
 19 67
 19 71
 19 82
 19 84
 19 87
 19 88
 19 91
 20 15
 20 16
 20 19
 20 2
 20 53
 20 56
 20 59
 20 64
 20 81
 21 21
 21 25
 21 33
 21 43
 21 49
 21 52
 21 60
 21 70
 21 98
 22 12
 22 22
 22 29
 22 3
 22 34
 22 48
 22 53
 22 72
 22 78
 22 83
 22 9
 22 90
 23 15
 23 16
 23 2
 23 45
 23 49
 23 50
 23 70
 23 77
 23 84
 23 87
 23 97
 23 99
 24 13
 24 14
 24 42
 24 48
 24 70
 25 13
 25 16
 25 22
 25 34
 25 72
 25 80
 25 83
 25 87
 25 99
 26 1
 26 12
 26 14
 26 25
 26 38
 26 4
 26 5
 26 52
 26 7
 26 70
 26 8
 26 96
 27 3
 27 40
 27 56
 27 88
 27 98
 27 99
 28 15
 28 22
 28 30
 28 35
 28 41
 28 44
 28 51
 28 53
 28 54
 28 60
 28 66
 28 83
 28 85
 28 92
 28 93
 29 23
 29 29
 29 30
 29 34
 29 50
 29 57
 29 87
 29 93
 29 96
 30 1
 30 11
 30 18
 30 35
 30 53
 30 64
 30 68
 30 69
 30 7
 30 75
 31 19
 31 4
 31 42
 31 44
 31 56
 31 58
 31 70
 31 74
 31 76
 31 8
 31 94
 32 17
 32 20
 32 26
 32 28
 32 36
 32 48
 32 63
 32 64
 32 79
 32 82
 32 90
 32 99
 33 22
 33 31
 33 33
 33 35
 33 4
 33 58
 33 71
 33 74
 33 78
 33 88
 33 99
 34 15
 34 24
 34 35
 34 39
 34 51
 34 53
 34 56
 34 6
 34 61
 34 63
 34 69
 34 74
 34 76
 34 83
 34 84
 34 87
 35 11
 35 30
 35 50
 35 7
 35 82
 36 3
 36 30
